hour,solar_mw
0,0.3823472222222222
1,0.4975211805555555
2,0.252678125
3,0.7426083333333332
4,0.7424913194444444
5,0.4946732638888889
6,4.8274864583333335
7,690.7875979166666
8,4091.397403472222
9,7878.801729861112
10,10697.29343125
11,12232.355143055556
12,12553.012121180556
13,11790.271645454544
14,10094.37586557971
15,7256.709505072463
16,2922.300735869565
17,253.089881884058
18,2.9033451048951044
19,0.4094291666666667
20,0.6448097222222222
21,0.37573090277777776
22,0.8510413194444443
23,0.6185399305555556
