year,step_change_twh,progressive_change_twh,green_energy_exports_twh
2025,4.0,4.0,4.0
2026,4.360038814094577,4.2659797688334695,4.406624982046661
2027,4.752484615102811,4.549645847024115,4.854585933099434
2028,5.180254346308896,4.852174284690522,5.348084912572067
2029,5.64652750419723,5.174819333335944,5.8917511454617255
2030,6.154769770788126,5.518918645844859,6.490684446398418
2031,6.708758773113052,5.885898822252994,7.150503058020242
2032,7.312612161292606,6.2772813242830034,7.877396352418261
2033,7.970818213913949,6.694688783166865,8.678182890012389
2034,8.688269198189207,7.139851726906551,9.56037438047462
2035,9.47029773285183,7.614615754863514,10.532246145679583
2036,10.322716424066462,8.120949189422086,11.602914745654076
2037,11.251861068955337,8.660951236449794,12.782423495689208
2038,12.264637747861242,9.236860688387011,14.08183667680107
2039,13.36857415537113,9.851065206048045,15.513343323273132
2040,14.571875551629939,10.506111217615068,17.09037156085054
2041,15.88348574981559,11.20471447586506,18.82771456812594
2042,17.31315359307852,11.949771317398964,20.74166934268691
2043,18.871505415050834,12.744370670552614,22.85018957370887
2044,20.57012402250441,13.591806861773023,25.173054055001913
2045,22.421634787214625,14.495593273553908,27.73205221829561
2046,24.43979948692724,15.459476910554871,30.551188527140983
2047,26.639618592922872,16.487453934293807,33.6569076487292
2048,29.037442764454823,17.583786230817793,37.07834251583186
2049,31.651094378768185,18.753019080040307,40.84758760578688
2050,34.5,19.999999999999993,45.00000000000001
