country,region,capacity_gw,growth_rate_pct,year_2030_forecast_gw,notes
United States,North America,53.7,15.2,95.0,Global leader
China,Asia Pacific,9.5,18.5,28.0,Rapid expansion
Germany,Europe,3.2,12.1,7.5,EU largest
United Kingdom,Europe,2.8,11.8,6.2,London hub
Japan,Asia Pacific,1.5,14.2,6.0,Tokyo concentration
Australia,Asia Pacific,1.3,25.1,4.5,Fastest growth rate in APAC
India,Asia Pacific,1.3,28.0,5.8,Emerging market
Singapore,Asia Pacific,1.0,8.5,1.8,Land constrained
Canada,North America,1.8,13.5,4.2,Green energy advantage
Netherlands,Europe,1.6,10.2,3.1,EU hub
